id_subsistena;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 22:00:00;50947.92200000;5566.05200000;12782.43900000;20.92000000;69317.33000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2023-01-01 22:00:00;28793.04492187;3925.44091796;7.00000000;18.57099914;37927.26100000;-5183.20399999
S;SUL;2023-01-01 22:00:00;7431.04882812;71.80300140;1299.15502929;1.00000000;13092.38800000;-4289.38100000
NE;NORDESTE;2023-01-01 23:00:00;5069.14990234;680.02301025;11618.55566406;1.67400002;11645.28799999;5724.11500000
N;NORTE;2023-01-01 23:00:00;8326.06933593;899.15600585;294.65499877;0E-8;6483.12199999;3036.75800000
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 23:00:00;47739.00300000;5577.86800000;13256.04400000;21.20600000;66594.12000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2023-01-01 23:00:00;28244.78710937;3917.65600585;6.50000000;18.53199958;35985.53699999;-3798.06100000
S;SUL;2023-01-01 23:00:00;6098.99609375;81.03299713;1336.33300781;1.00000000;12480.17399999;-4962.81200000
NE;NORDESTE;2023-01-02 00:00:00;4469.17822265;686.00897216;11390.54589843;1.51999998;11305.27000000;5241.98300000
N;NORTE;2023-01-02 00:00:00;8387.34277343;915.52099609;312.28201293;0E-8;6460.41100000;3154.73500000
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-02 00:00:00;44704.81100000;5655.36900000;13198.16200000;20.99700000;63579.34000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2023-01-02 00:00:00;27539.94921875;3942.46289062;6.00000000;18.47699928;34049.36400000;-2542.47500000
S;SUL;2023-01-02 00:00:00;4308.34082031;111.37599945;1489.33398437;1.00000000;11764.29400000;-5854.24300000
NE;NORDESTE;2023-01-02 01:00:00;3906.18505859;681.07000732;10754.93359375;1.63399994;11060.38900000;4283.43399999
N;NORTE;2023-01-02 01:00:00;8498.40625000;921.00799560;267.78601074;0E-8;6317.41500000;3369.78500000
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-02 01:00:00;42880.77100000;5765.99400000;12463.69300000;21.02700000;61131.49000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2023-01-02 01:00:00;27131.83984375;3938.87011718;5.00000000;18.39299964;32526.95099999;-1432.84899999
S;SUL;2023-01-02 01:00:00;3344.34106445;225.04600524;1435.97302246;1.00000000;11226.73000000;-6220.37000000
NE;NORDESTE;2023-01-02 02:00:00;3445.24609375;677.25000000;10346.02832031;1.59399998;10871.09299999;3599.02500000
N;NORTE;2023-01-02 02:00:00;8640.39453125;928.56097412;227.75900268;0E-8;6207.02899999;3589.68600000
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-02 02:00:00;41860.44300000;5833.63000000;11727.15800000;20.98900000;59442.22000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2023-01-02 02:00:00;26735.90625000;3942.59008789;5.00000000;18.39500045;31521.12300000;-819.23100000
S;SUL;2023-01-02 02:00:00;3038.89501953;285.22900390;1148.37097167;1.00000000;10842.97499999;-6369.47999999
NE;NORDESTE;2023-01-02 03:00:00;3350.12109375;675.89202880;10089.36425781;1.48599994;10704.33700000;3412.52600000
N;NORTE;2023-01-02 03:00:00;8734.81835937;942.83001708;207.33000183;0E-8;6118.58699999;3766.39100000
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-02 03:00:00;41213.24700000;5928.90300000;11195.04000000;20.86300000;58358.05000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2023-01-02 03:00:00;26292.31835937;3945.75000000;5.00000000;18.37700080;30986.82099999;-725.37599999
S;SUL;2023-01-02 03:00:00;2835.98999023;364.43099975;893.34600830;1.00000000;10548.30800000;-6453.54100000
NE;NORDESTE;2023-01-02 04:00:00;3294.61889648;678.31896972;9333.53417968;1.44099998;10582.59499999;2725.31800000
N;NORTE;2023-01-02 04:00:00;8647.20410156;962.41699218;193.18800354;0E-8;6040.78899999;3762.02000000
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-02 04:00:00;41581.87400000;5970.59300000;10365.32000000;20.83000000;57938.62000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2023-01-02 04:00:00;26344.35156250;3930.45800781;4.00000000;18.38899993;30900.03200000;-602.83399999
S;SUL;2023-01-02 04:00:00;3295.69995117;399.39898681;834.59802246;1.00000000;10415.20099999;-5884.50400000
NE;NORDESTE;2023-01-02 05:00:00;3286.07104492;679.38897705;8779.85058593;22.02799987;10031.25600000;2736.08300000
N;NORTE;2023-01-02 05:00:00;8635.56933593;990.64801025;165.59399414;0E-8;5965.82799999;3825.98300000
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-02 05:00:00;41423.14400000;5998.17500000;9668.09400000;52.42400000;57141.84000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2023-01-02 05:00:00;26243.58593750;3923.07104492;4.00000000;29.39599990;30826.66300000;-626.61100000
S;SUL;2023-01-02 05:00:00;3257.91894531;405.06698608;718.64898681;1.00000000;10318.09000000;-5935.45500000
NE;NORDESTE;2023-01-02 06:00:00;3263.60498046;684.00799560;8008.47802734;839.77001953;9763.27900000;3032.58200000
N;NORTE;2023-01-02 06:00:00;8609.89160156;1044.72802734;119.93199920;1.00000000;5639.91900000;4135.63300000
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-02 06:00:00;41418.78800000;6058.20600000;8618.23200000;1224.85700000;57320.08000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2023-01-02 06:00:00;26352.90625000;3926.48095703;4.00000000;383.08700561;31502.83400000;-836.36000000
S;SUL;2023-01-02 06:00:00;3192.38500976;402.98901367;485.82199096;1.00000000;10414.05100000;-6331.85499999
NE;NORDESTE;2023-01-02 07:00:00;3264.89990234;681.92102050;8076.86914062;2144.51489257;9889.56000000;4278.64500000
N;NORTE;2023-01-02 07:00:00;8646.01855468;1208.24096679;113.46800231;2.00000000;5545.28099999;4424.44700000
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-02 07:00:00;41699.37900000;6253.85600000;8571.58800000;3244.43600000;59505.72000000;263.54000000
